timeframe,week_of,2019_counts_31_counters,2020_counts_31_counters,change_2019_2020
Week 1,2020-12-30,167679,183546,0.09462723417959315
Week 2,2020-01-06,82340,97140,0.1797425309691523
Week 3,2020-01-13,62315,75782,0.2161116906041884
Week 4,2020-01-20,75801,83809,0.1056450442606298
Week 5,2020-01-27,75841,94738,0.24916601838055932
Week 6,2020-02-03,79780,153555,0.9247305088994735
Week 7,2020-02-10,65732,130351,0.9830676078622285
Week 8,2020-02-17,69492,149876,1.1567374661831578
Week 9,2020-02-24,85688,141250,0.6484221828027261
Week 10,2020-03-02,84512,167528,0.9822983718288527
Week 11,2020-03-09,107995,210182,0.9462197323950183
Week 12,2020-03-16,125440,367795,1.9320392219387754
Week 13,2020-03-23,136330,372783,1.73
Week 14,2020-03-30,118784,280728,1.36
Week 15,2020-04-06,132033,419160,2.17
Week 16,2020-04-13,133267,241810,0.81
Week 17,2020-04-20,165777,231184,0.39
Week 18,2020-04-27,166356,276982,0.66
Week 19,2020-05-04,171049,244058,0.43
Week 20,2020-05-11,178534,281348,0.58
Week 21,2020-05-18,191319,255226,0.33
Week 22,2020-05-25,240507,299567,0.25
Week 23,2020-06-01,211380,278800,0.32
Week 24,2020-06-08,214729,296335,0.38
Week 25,2020-06-15,202847,255112,0.26
Week 26,2020-06-22,202445,256615,0.27
Week 27,2020-06-29,184658,236287,0.28
Week 28,2020-07-06,185302,244342,0.32
Week 29,2020-07-13,166125,250590,0.51
Week 30,2020-07-20,208809,223757,0.07
Week 31,2020-07-27,197005,238673,0.21
Week 32,2020-08-03,180605,239827,0.33
Week 33,2020-08-10,191450,219279,0.15
Week 34,2020-08-17,168754,241007,0.43
Week 35,2020-08-24,176624,273677,0.55
Week 36,2020-08-31,184806,227918,0.23
Week 37,2020-09-07,157345,207670,0.32
Week 38,2020-09-14,152527,207320,0.36
Week 39,2020-09-21,141072,207918,0.47
Week 40,2020-09-28,135881,186004,0.37
Week 41,2020-10-05,132239,182924,0.38
Week 42,2020-10-12,110816,159246,0.44
Week 43,2020-10-19,110761,141404,0.28
Week 44,2020-10-26,109795,147907,0.35
Week 45,2020-11-02,109766,154502,0.41
Week 46,2020-11-09,86824,155805,0.79
Week 47,2020-11-16,88122,97835,0.11
Week 48,2020-11-23,72380,101036,0.4
Week 49,2020-11-30,81871,84123,0.03
Week 50,2020-12-07,68364,92126,0.35
